SalesId,InvoiceId,InvoiceDate,CustomerId,ProductId,UnitPrice,Quantity,LineTotal
1,1,2021-01-01,2,2,0.99,1,0.99
2,1,2021-01-01,2,4,0.99,1,0.99
3,2,2021-01-02,4,6,0.99,1,0.99
4,2,2021-01-02,4,8,0.99,1,0.99
5,2,2021-01-02,4,10,0.99,1,0.99
6,2,2021-01-02,4,12,0.99,1,0.99
7,3,2021-01-03,8,16,0.99,1,0.99
8,3,2021-01-03,8,20,0.99,1,0.99
9,3,2021-01-03,8,24,0.99,1,0.99
10,3,2021-01-03,8,28,0.99,1,0.99
11,3,2021-01-03,8,32,0.99,1,0.99
12,3,2021-01-03,8,36,0.99,1,0.99
13,4,2021-01-06,14,42,0.99,1,0.99
14,4,2021-01-06,14,48,0.99,1,0.99
15,4,2021-01-06,14,54,0.99,1,0.99
16,4,2021-01-06,14,60,0.99,1,0.99
17,4,2021-01-06,14,66,0.99,1,0.99
18,4,2021-01-06,14,72,0.99,1,0.99
19,4,2021-01-06,14,78,0.99,1,0.99
20,4,2021-01-06,14,84,0.99,1,0.99
21,4,2021-01-06,14,90,0.99,1,0.99
22,5,2021-01-11,23,99,0.99,1,0.99
23,5,2021-01-11,23,108,0.99,1,0.99
24,5,2021-01-11,23,117,0.99,1,0.99
25,5,2021-01-11,23,126,0.99,1,0.99
26,5,2021-01-11,23,135,0.99,1,0.99
27,5,2021-01-11,23,144,0.99,1,0.99
28,5,2021-01-11,23,153,0.99,1,0.99
29,5,2021-01-11,23,162,0.99,1,0.99
30,5,2021-01-11,23,171,0.99,1,0.99
31,5,2021-01-11,23,180,0.99,1,0.99
32,5,2021-01-11,23,189,0.99,1,0.99
33,5,2021-01-11,23,198,0.99,1,0.99
34,5,2021-01-11,23,207,0.99,1,0.99
35,5,2021-01-11,23,216,0.99,1,0.99
36,6,2021-01-19,37,230,0.99,1,0.99
37,7,2021-02-01,38,231,0.99,1,0.99
38,7,2021-02-01,38,232,0.99,1,0.99
39,8,2021-02-01,40,234,0.99,1,0.99
40,8,2021-02-01,40,236,0.99,1,0.99
41,9,2021-02-02,42,238,0.99,1,0.99
42,9,2021-02-02,42,240,0.99,1,0.99
43,9,2021-02-02,42,242,0.99,1,0.99
44,9,2021-02-02,42,244,0.99,1,0.99
45,10,2021-02-03,46,248,0.99,1,0.99
46,10,2021-02-03,46,252,0.99,1,0.99
47,10,2021-02-03,46,256,0.99,1,0.99
48,10,2021-02-03,46,260,0.99,1,0.99
49,10,2021-02-03,46,264,0.99,1,0.99
50,10,2021-02-03,46,268,0.99,1,0.99
51,11,2021-02-06,52,274,0.99,1,0.99
52,11,2021-02-06,52,280,0.99,1,0.99
53,11,2021-02-06,52,286,0.99,1,0.99
54,11,2021-02-06,52,292,0.99,1,0.99
55,11,2021-02-06,52,298,0.99,1,0.99
56,11,2021-02-06,52,304,0.99,1,0.99
57,11,2021-02-06,52,310,0.99,1,0.99
58,11,2021-02-06,52,316,0.99,1,0.99
59,11,2021-02-06,52,322,0.99,1,0.99
60,12,2021-02-11,2,331,0.99,1,0.99
61,12,2021-02-11,2,340,0.99,1,0.99
62,12,2021-02-11,2,349,0.99,1,0.99
63,12,2021-02-11,2,358,0.99,1,0.99
64,12,2021-02-11,2,367,0.99,1,0.99
65,12,2021-02-11,2,376,0.99,1,0.99
66,12,2021-02-11,2,385,0.99,1,0.99
67,12,2021-02-11,2,394,0.99,1,0.99
68,12,2021-02-11,2,403,0.99,1,0.99
69,12,2021-02-11,2,412,0.99,1,0.99
70,12,2021-02-11,2,421,0.99,1,0.99
71,12,2021-02-11,2,430,0.99,1,0.99
72,12,2021-02-11,2,439,0.99,1,0.99
73,12,2021-02-11,2,448,0.99,1,0.99
74,13,2021-02-19,16,462,0.99,1,0.99
75,14,2021-03-04,17,463,0.99,1,0.99
76,14,2021-03-04,17,464,0.99,1,0.99
77,15,2021-03-04,19,466,0.99,1,0.99
78,15,2021-03-04,19,468,0.99,1,0.99
79,16,2021-03-05,21,470,0.99,1,0.99
80,16,2021-03-05,21,472,0.99,1,0.99
81,16,2021-03-05,21,474,0.99,1,0.99
82,16,2021-03-05,21,476,0.99,1,0.99
83,17,2021-03-06,25,480,0.99,1,0.99
84,17,2021-03-06,25,484,0.99,1,0.99
85,17,2021-03-06,25,488,0.99,1,0.99
86,17,2021-03-06,25,492,0.99,1,0.99
87,17,2021-03-06,25,496,0.99,1,0.99
88,17,2021-03-06,25,500,0.99,1,0.99
89,18,2021-03-09,31,506,0.99,1,0.99
90,18,2021-03-09,31,512,0.99,1,0.99
91,18,2021-03-09,31,518,0.99,1,0.99
92,18,2021-03-09,31,524,0.99,1,0.99
93,18,2021-03-09,31,530,0.99,1,0.99
94,18,2021-03-09,31,536,0.99,1,0.99
95,18,2021-03-09,31,542,0.99,1,0.99
96,18,2021-03-09,31,548,0.99,1,0.99
97,18,2021-03-09,31,554,0.99,1,0.99
98,19,2021-03-14,40,563,0.99,1,0.99
99,19,2021-03-14,40,572,0.99,1,0.99
100,19,2021-03-14,40,581,0.99,1,0.99
101,19,2021-03-14,40,590,0.99,1,0.99
102,19,2021-03-14,40,599,0.99,1,0.99
103,19,2021-03-14,40,608,0.99,1,0.99
104,19,2021-03-14,40,617,0.99,1,0.99
105,19,2021-03-14,40,626,0.99,1,0.99
106,19,2021-03-14,40,635,0.99,1,0.99
107,19,2021-03-14,40,644,0.99,1,0.99
108,19,2021-03-14,40,653,0.99,1,0.99
109,19,2021-03-14,40,662,0.99,1,0.99
110,19,2021-03-14,40,671,0.99,1,0.99
111,19,2021-03-14,40,680,0.99,1,0.99
112,20,2021-03-22,54,694,0.99,1,0.99
113,21,2021-04-04,55,695,0.99,1,0.99
114,21,2021-04-04,55,696,0.99,1,0.99
115,22,2021-04-04,57,698,0.99,1,0.99
116,22,2021-04-04,57,700,0.99,1,0.99
117,23,2021-04-05,59,702,0.99,1,0.99
118,23,2021-04-05,59,704,0.99,1,0.99
119,23,2021-04-05,59,706,0.99,1,0.99
120,23,2021-04-05,59,708,0.99,1,0.99
121,24,2021-04-06,4,712,0.99,1,0.99
122,24,2021-04-06,4,716,0.99,1,0.99
123,24,2021-04-06,4,720,0.99,1,0.99
124,24,2021-04-06,4,724,0.99,1,0.99
125,24,2021-04-06,4,728,0.99,1,0.99
126,24,2021-04-06,4,732,0.99,1,0.99
127,25,2021-04-09,10,738,0.99,1,0.99
128,25,2021-04-09,10,744,0.99,1,0.99
129,25,2021-04-09,10,750,0.99,1,0.99
130,25,2021-04-09,10,756,0.99,1,0.99
131,25,2021-04-09,10,762,0.99,1,0.99
132,25,2021-04-09,10,768,0.99,1,0.99
133,25,2021-04-09,10,774,0.99,1,0.99
134,25,2021-04-09,10,780,0.99,1,0.99
135,25,2021-04-09,10,786,0.99,1,0.99
136,26,2021-04-14,19,795,0.99,1,0.99
137,26,2021-04-14,19,804,0.99,1,0.99
138,26,2021-04-14,19,813,0.99,1,0.99
139,26,2021-04-14,19,822,0.99,1,0.99
140,26,2021-04-14,19,831,0.99,1,0.99
141,26,2021-04-14,19,840,0.99,1,0.99
142,26,2021-04-14,19,849,0.99,1,0.99
143,26,2021-04-14,19,858,0.99,1,0.99
144,26,2021-04-14,19,867,0.99,1,0.99
145,26,2021-04-14,19,876,0.99,1,0.99
146,26,2021-04-14,19,885,0.99,1,0.99
147,26,2021-04-14,19,894,0.99,1,0.99
148,26,2021-04-14,19,903,0.99,1,0.99
